"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1716208";"Paranã (TO)";"315396,77"
"1716307";"Pau D'Arco (TO)";"91169,32"
"1716505";"Pedro Afonso (TO)";"848670,95"
"1716604";"Peixe (TO)";"733929,39"
"1716653";"Pequizeiro (TO)";"107606,18"
"1716703";"Colméia (TO)";"182795,64"
"1717008";"Pindorama do Tocantins (TO)";"85005,66"
"1717206";"Piraquê (TO)";"89940,43"
"1717503";"Pium (TO)";"361914,53"
"1717800";"Ponte Alta do Bom Jesus (TO)";"66158,25"
"1717909";"Ponte Alta do Tocantins (TO)";"121170,43"
"1718006";"Porto Alegre do Tocantins (TO)";"47042,66"
"1718204";"Porto Nacional (TO)";"3649421,28"
"1718303";"Praia Norte (TO)";"93138,60"
"1718402";"Presidente Kennedy (TO)";"65165,28"
"1718451";"Pugmil (TO)";"82663,29"
"1718501";"Recursolândia (TO)";"91479,79"
"1718550";"Riachinho (TO)";"68536,43"
"1718659";"Rio da Conceição (TO)";"29142,46"
"1718709";"Rio dos Bois (TO)";"85928,25"
"1718758";"Rio Sono (TO)";"111443,42"
"1718808";"Sampaio (TO)";"145863,18"
"1718840";"Sandolândia (TO)";"116736,09"
"1718865";"Santa Fé do Araguaia (TO)";"175926,90"
"1718881";"Santa Maria do Tocantins (TO)";"139630,25"
"1718899";"Santa Rita do Tocantins (TO)";"180272,58"
"1718907";"Santa Rosa do Tocantins (TO)";"307685,02"
"1719004";"Santa Tereza do Tocantins (TO)";"48098,44"
"1720002";"Santa Terezinha do Tocantins (TO)";"41930,98"
"1720101";"São Bento do Tocantins (TO)";"73589,55"
"1720150";"São Félix do Tocantins (TO)";"36540,73"
"1720200";"São Miguel do Tocantins (TO)";"255814,09"
"1720259";"São Salvador do Tocantins (TO)";"49467,49"
"1720309";"São Sebastião do Tocantins (TO)";"61804,37"
"1720499";"São Valério (TO)";"156734,12"
"1720655";"Silvanópolis (TO)";"240328,58"
"1720804";"Sítio Novo do Tocantins (TO)";"132862,00"
"1720853";"Sucupira (TO)";"532373,97"
"1720903";"Taguatinga (TO)";"318252,68"
"1720937";"Taipas do Tocantins (TO)";"35246,27"
"1720978";"Talismã (TO)";"146707,97"
"1721000";"Palmas (TO)";"10333418,52"
"1721109";"Tocantínia (TO)";"191372,85"
